C1,id,text,polarization
2350,eng_58090bf54d52d10225c73e23d4d83627,AOCLovesElon because Pelosi loves to pay her winery staff low wages while threatening deportation,2.0
2352,eng_0a46862a8b43f5aed5d77b482f0b356b,And it stems from xenophobia too lmao,2.0
2400,eng_00758f5a8b22322bdf571481ec0efb75,Dems should file articles of impeachment every single day. We have to stop these criminals.,2.0
2415,eng_5d87f92ad1e604b97a6d4eae6647ecc1,Elon Musk is the Deep State,2.0
2416,eng_953175fbdf11ba464912586a5b9500da,Epic treason by all Republicans.,2.0
2422,eng_c9805096e981e1d1d24dc1c503f34781,FDT he is a traitor,2.0
2430,eng_01a6d616df9dc8ec4f63b15ac66511fb,Fuck Twitter Fuck YouTube Fuck Facebook Commie liberal agenda,2.0
2473,eng_17295bf28850b5527a04dc7f5c229a53,Illegal unregistered Foreign lobbyists oligarchs deserve sanctions !,2.0
2544,eng_40f07f3b588d1b7e251c18851da17f30,Resist Trump! Resist Maga hypocrites!,2.0
2546,eng_02f2eca6b1ab8a5813b0fe9032ab7080,Russian Imperialism Arab League Imperialism are different versions of the same sht,2.0
2561,eng_ca99e417ba56c186664ad50b13aee3bf,"TRUMP LIE 718 ""Not statistically possible. Rigged Election!"" TFG Trump",2.0
2653,eng_78530d6fa5f7b6d8b5f042b68e6f56b8,felon musk felon trump IDF supporters,2.0
2663,eng_010225ddefff41f00845872f80b1b97d,my ethnic cleansing is very socialist why do you ask,2.0
2705,eng_3e93a286942ca88e5b7bdbdffad79073,"At 10am today, voter registration challenge hearings will begin in . The hearings are open to the public",0.0
2736,eng_40863ccfdd2c929fab786cef0a1b6fca,Crazy woke agenda items like supporting red states.,2.0
2753,eng_d8d7d0662139da9e2395bd1402a21920,Donate to friends of the IDF!,0.0
2762,eng_befb796acdd6491b0997e98b8b41100f,Elon Musk is a Nazi who despises the idea of multiculturalism and religious pluralism,2.0
2774,eng_58ed59b0dc554581e2fe15c2ec251cce,FUCK DONALD TRUMP TO DEATH!!!,2.0
2829,eng_3f2c2a5f286dcd4045d4073ead3e1493,"IAF intercepts missile fired from Yemen, IDF commander injured in West Bank vehicle explosion",0.0
2884,eng_3e4076dab5c65efcb2334e4fe5938e20,Kamala Harris is just too dark to be President. And she dumb.,2.0
2888,eng_46ae9ed47c437d4300c5afa4850fb2e8,Kamala Harris to attend funeral of Buffalo mass shooting,0.0
2921,eng_053a5cb1a2bfbf17d66f25e2ce70cd57,Nationalism is just another word for Xenophobia. racism Xenophobia notoborders,2.0
2952,eng_02d29e28e6f6c08f6fb0fad14f9dc70f,Really useful app regardless of your immigration status. Please share.,0.0
2992,eng_1e725acd9144c09bed31b5adc1812b8c,"Thanks, Snowflake! Youre the best!",0.0
3023,eng_0063366f06e746ee0324476090c0b80d,"Theyre not interested in the rights given to 43,000 asylum seekers but with the removal of rights from 70 million citizens",2.0
3027,eng_4c065f6c4fc6367157b244c8859ac864,"This is genocide, Call it genocide CallItAGenocide StopTigrayGenocide StopTigrayFamine",2.0
3065,eng_0482b524770f85ab21325f73135b6a9c,When can we start calling mass deportations ethnic cleansing?,2.0
3071,eng_019eeba83eed7fcfb2b7db4a27d07233,Who gave the order to stop counting the votes in the swing states?,0.0
3092,eng_38c5bacee209722ee76b30bb37f435d1,Zionism is a cult. A coloniser cult The senior members of the government he apartheid state of Israel are majority European,2.0
3122,eng_03a225c63c458b99d017914bb6ddf57b,pornography is propaganda. repeat after me pornography is propaganda. now lets collab.,2.0
3158,eng_4591c2fae023689f7af495b9831fe075,"He is a Psycho. CANADAS CONSERVATIVE LEADER ISRAEL MUST STRIKE IRANS NUCLEAR FACILITIES Pierre Poilievre ""It would be a gift by the Jewish state to",2.0
3174,eng_02d0656ef6b57ea355e3c24659bf6b27,Jason Van Dyke is an enemy of the people.,2.0
3196,eng_0b285af2aba6a96a75817b644fde8f87,TWO INDEPENDENT STATES End Israeli Atrocities End Israeli Apartheid FREE PALESTINE NOW IsraeliWarCrimes,0.0
3200,eng_0074a079354a2fc30efad43bf0f3267d,The deep state that the right always talks about is made up of the white supremacists that are infiltrating the government.,2.0
3203,eng_0505a624744f5021620a10e57198050d,They did vote for her their votes were canceled by voter suppression laws. About million votes,2.0
3207,eng_5f1b44a1a1db92f6df32ddf8182390d8,Traitor raising anothe man hating traitor schyzo,2.0
